instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,0,inverse_num_params,subsample,24.0,-75.72472560378105,-75.68773771283301,-21.679288497221595,-75.70149516283313
0,0,inverse_num_params,subsample,25.0,-75.72232198481616,-75.68032538857084,-364.0224286807555,-75.68306703665222
0,0,inverse_num_params,subsample,26.0,-75.72232198481616,-75.69448023119612,-343.7719395146309,-75.69351057707819
0,0,inverse_num_params,subsample,27.0,-75.72472560378105,-75.68032538857084,-516.1589056616953,-75.67850982673093
0,0,inverse_num_params,subsample,28.0,-75.71968309929453,-75.68032538857084,-192.9629895440439,-75.69550433719355
0,0,inverse_num_params,subsample,29.0,-75.72472560378105,-75.68773771283301,-181.4186940454593,-75.69523314313155
0,0,inverse_num_params,subsample,30.0,-75.72472560378105,-75.68032538857084,-169.05388731109866,-75.69097858901264
0,0,inverse_num_params,subsample,31.0,-75.72472560378105,-75.68032538857084,-743.089015189905,-75.67314909692318
0,0,inverse_num_params,subsample,32.0,-75.72472560378105,-75.68032538857084,-263.6731111072682,-75.6927997214412
0,0,inverse_num_params,subsample,33.0,-75.71064033764262,-75.68032538857084,9.942576698400087,-75.69957477720595
0,0,inverse_num_params,subsample,34.0,-75.72472560378105,-75.68032538857084,-780.5431856150176,-75.6691492705817
0,0,inverse_num_params,subsample,35.0,-75.70996698362828,-75.69203029710116,275.0644734684896,-75.71300212970739
0,0,inverse_num_params,subsample,36.0,-75.72472560378105,-75.68032538857084,-91.57089588477051,-75.69597888774236
0,0,inverse_num_params,subsample,37.0,-75.72472560378105,-75.68773771283301,-116.86659430311617,-75.69895488965152
0,0,inverse_num_params,subsample,38.0,-75.72472560378105,-75.69203029710116,-66.24725494465055,-75.70374893873564
0,0,inverse_num_params,subsample,39.0,-75.71064033764262,-75.68773771283301,212.1941010845115,-75.70930467085371
0,0,inverse_num_params,subsample,40.0,-75.71968309929453,-75.68773771283301,-73.82626792060606,-75.6994884403522
0,0,inverse_num_params,subsample,41.0,-75.72472560378105,-75.68032538857084,-818.2529145902594,-75.67042835278157
0,0,inverse_num_params,subsample,42.0,-75.72472560378105,-75.68773771283301,-43.158123689739455,-75.7001952735216
0,0,inverse_num_params,subsample,43.0,-75.72472560378105,-75.69436029704306,267.007068865027,-75.71562424343972
0,0,inverse_num_params,subsample,44.0,-75.71968309929453,-75.69436029704306,-23.165637603235226,-75.70286172464994
0,0,inverse_num_params,subsample,45.0,-75.72472560378105,-75.69436029704306,-234.10173287776882,-75.6964056508378
0,0,inverse_num_params,subsample,46.0,-75.70985883914489,-75.68032538857084,-87.48324070829484,-75.69161339805456
0,0,inverse_num_params,subsample,47.0,-75.72472560378105,-75.69319604031449,-341.09813454545645,-75.69079446175284
0,0,inverse_num_params,subsample,48.0,-75.72232198481616,-75.68773771283301,-548.6293986499261,-75.68041402837407
0,0,inverse_num_params,subsample,49.0,-75.71968309929453,-75.69203029710116,81.7650224107162,-75.70647386343266
0,0,inverse_num_params,subsample,50.0,-75.72472560378105,-75.68773771283301,-127.61563246403739,-75.69988255310945
0,0,inverse_num_params,subsample,51.0,-75.70996698362828,-75.69436029704306,305.08263695566467,-75.71459791942829
0,0,inverse_num_params,subsample,52.0,-75.72472560378105,-75.68032538857084,-830.9936195051628,-75.67019153491412
0,0,inverse_num_params,subsample,53.0,-75.71968309929453,-75.68773771283301,-195.5801802681438,-75.69505380866765
0,0,inverse_num_params,subsample,54.0,-75.72472560378105,-75.68032538857084,-64.42725355584847,-75.69762710681964
0,0,inverse_num_params,subsample,55.0,-75.72472560378105,-75.68032538857084,-679.5164005897692,-75.67339045874581
0,0,inverse_num_params,subsample,56.0,-75.72472560378105,-75.69203029710116,152.835199287368,-75.71342881152198
0,0,inverse_num_params,subsample,57.0,-75.72472560378105,-75.69319604031449,-652.7842549601627,-75.67742860705799
0,0,inverse_num_params,subsample,58.0,-75.71064033764262,-75.68773771283301,237.56036771196412,-75.70887723809135
0,0,inverse_num_params,subsample,59.0,-75.72232198481616,-75.69203029710116,38.138884196659056,-75.70456927141772
0,0,inverse_num_params,subsample,60.0,-75.71064033764262,-75.68032538857084,8.39127418523202,-75.69869699157532
0,0,inverse_num_params,subsample,61.0,-75.71064033764262,-75.68773771283301,231.6349500086876,-75.70930594250488
0,0,inverse_num_params,subsample,62.0,-75.72472560378105,-75.69203029710116,-6.072195819914414,-75.70697235579497
0,0,inverse_num_params,subsample,63.0,-75.72232198481616,-75.68773771283301,-282.7460407825304,-75.69352001661298
0,0,inverse_num_params,subsample,64.0,-75.72472560378105,-75.68773771283301,-665.2583030159141,-75.67659749528737
0,0,inverse_num_params,subsample,65.0,-75.72472560378105,-75.69203029710116,246.65059194115176,-75.71337173774019
0,0,inverse_num_params,subsample,66.0,-75.71968309929453,-75.68032538857084,-648.602737268326,-75.67360780781937
0,0,inverse_num_params,subsample,67.0,-75.72472560378105,-75.68032538857084,-313.3644188234896,-75.68711845814308
0,0,inverse_num_params,subsample,68.0,-75.72472560378105,-75.68032538857084,-960.0745777712393,-75.66474084255323
0,0,inverse_num_params,subsample,69.0,-75.72472560378105,-75.69203029710116,-6.093260831214876,-75.70683003251384
0,0,inverse_num_params,subsample,70.0,-75.72472560378105,-75.68032538857084,-161.48494310811918,-75.69076934961038
0,0,inverse_num_params,subsample,71.0,-75.71968309929453,-75.68773771283301,-414.68812928544975,-75.68525882342624
0,0,inverse_num_params,subsample,72.0,-75.72472560378105,-75.68773771283301,-636.621702326652,-75.67948699256392
0,0,inverse_num_params,subsample,73.0,-75.71968309929453,-75.68032538857084,-187.31465495192106,-75.69444648999124
0,0,inverse_num_params,subsample,74.0,-75.72472560378105,-75.69448023119612,-441.3446877396312,-75.68914606510644
0,0,inverse_num_params,subsample,75.0,-75.72472560378105,-75.68032538857084,-774.2332477581198,-75.67590478716824
0,0,inverse_num_params,subsample,76.0,-75.72472560378105,-75.68032538857084,-526.3599315524366,-75.68109155517963
